Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2009,KS,Kansas, Youth,Overall,All Races,All Ages,Middle School
2007,MO,Missouri, Youth,Male,All Races,All Ages,Middle School
2000,NY,New York,  Youth,Female,All Races,All Ages,Middle School
2015,PA,Pennsylvania,  Youth,Female,All Races,All Ages,High School
2004,KY,Kentucky, Youth,Male,All Races,All Ages,High School
2013,OK,Oklahoma,  Youth,Male,All Races,All Ages,Middle School
2001,NJ,New Jersey,  Youth,Overall,All Races,All Ages,High School
2004,WI,Wisconsin,  Youth,Male,All Races,All Ages,Middle School
2013,SC,South Carolina,  Youth,Overall,All Races,All Ages,High School
2009,HI,Hawaii,  Youth,Male,All Races,All Ages,Middle School
2015,PA,Pennsylvania, Youth,Female,All Races,All Ages,Middle School
2016,AL,Alabama, Youth,Female,All Races,All Ages,Middle School
1999,NE,Nebraska,  Youth,Male,All Races,All Ages,Middle School
2000,AZ,Arizona,  Youth,Male,All Races,All Ages,Middle School
2002,MA,Massachusetts, Youth,Overall,All Races,All Ages,Middle School
2002,WI,Wisconsin,  Youth,Male,All Races,All Ages,High School
2000,NH,New Hampshire, Youth,Overall,All Races,All Ages,Middle School
2015,SC,South Carolina,  Youth,Overall,All Races,All Ages,High School
2006,PA,Pennsylvania,  Youth,Overall,All Races,All Ages,Middle School
2000,VT,Vermont, Youth,Male,All Races,All Ages,Middle School
2007,SD,South Dakota,  Youth,Female,All Races,All Ages,Middle School
2009,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2007,AR,Arkansas,  Youth,Female,All Races,All Ages,Middle School
2005,MO,Missouri,  Youth,Female,All Races,All Ages,High School
2006,AL,Alabama,  Youth,Male,All Races,All Ages,High School
2000,MS,Mississippi,  Youth,Male,All Races,All Ages,High School
2002,AL,Alabama,  Youth,Female,All Races,All Ages,Middle School
2010,IL,Illinois, Youth,Overall,All Races,All Ages,Middle School
