Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2017,WV,West Virginia,E-  Adults,Female,All Races,All Ages,All Grades
2016,GU,Guam,  Adults,Male,All Races,All Ages,All Grades
2018,WA,Washington,  Adults,Male,All Races,All Ages,All Grades
2011,KY,Kentucky,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2013,MN,Minnesota,  Adults,Male,All Races,All Ages,All Grades
2019,NY,New York,  Adults,Overall,All Races,45 to 64 Years,All Grades
2019,OH,Ohio,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2017,ND,North Dakota,  Adults,Female,All Races,All Ages,All Grades
2015,FL,Florida,  Adults,Female,All Races,All Ages,All Grades
2017,CA,California,  Adults,Male,All Races,All Ages,All Grades
2012,HI,Hawaii,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2016,KY,Kentucky,E-  Adults,Female,All Races,All Ages,All Grades
2017,SC,South Carolina,  Adults,Male,All Races,All Ages,All Grades
2014,MA,Massachusetts,  Adults,Overall,African American,All Ages,All Grades
2015,SC,South Carolina,  Adults,Female,All Races,All Ages,All Grades
2012,CO,Colorado,  Adults,Overall,All Races,25 to 44 Years,All Grades
2014,OR,Oregon,  Adults,Male,All Races,All Ages,All Grades
2019,KY,Kentucky,  Adults,Overall,All Races,25 to 44 Years,All Grades
2016,LA,Louisiana,  Adults,Male,All Races,All Ages,All Grades
2012,TN,Tennessee, Adults,Male,All Races,All Ages,All Grades
2012,NY,New York,  Adults,Male,All Races,All Ages,All Grades
2016,IL,Illinois,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2019,GU,Guam,  Adults,Male,All Races,All Ages,All Grades
2016,NJ,New Jersey,  Adults,Overall,All Races,All Ages,All Grades
2015,KY,Kentucky,  Adults,Female,All Races,All Ages,All Grades
2013,NJ,New Jersey,  Adults,Male,All Races,All Ages,All Grades
2016,OK,Oklahoma,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2018,NY,New York,E-  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,MN,Minnesota,  Adults,Female,All Races,18 to 44 Years,All Grades
2016,WI,Wisconsin,  Adults,Male,All Races,All Ages,All Grades
2012,KS,Kansas,  Adults,Female,All Races,All Ages,All Grades
2017,CA,California,  Adults,Overall,All Races,All Ages,All Grades
2014,NH,New Hampshire,  Adults,Female,All Races,18 to 44 Years,All Grades
2019,AR,Arkansas,  Adults,Female,All Races,All Ages,All Grades
2012,MS,Mississippi,  Adults,Male,All Races,All Ages,All Grades
2018,ID,Idaho,  Adults,Overall,White,All Ages,All Grades
2017,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2011,MD,Maryland,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2014,OH,Ohio,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2015,NV,Nevada,  Adults,Overall,All Races,45 to 64 Years,All Grades
2013,CT,Connecticut,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2017,DE,Delaware, Adults,Overall,All Races,All Ages,All Grades
2013,MI,Michigan,  Adults,Male,All Races,All Ages,All Grades
2017-2018,WI,Wisconsin,E-  Adults,Overall,White,All Ages,All Grades
2018,MD,Maryland,  Adults,Male,All Races,All Ages,All Grades
2017,OK,Oklahoma,  Adults,Male,All Races,All Ages,All Grades
2013,SC,South Carolina,  Adults,Female,All Races,All Ages,All Grades
2016,GA,Georgia,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2013,SD,South Dakota,  Adults,Overall,All Races,18 to 24 Years,All Grades
2016,UT,Utah, Adults,Female,All Races,All Ages,All Grades
2011,IA,Iowa,  Adults,Female,All Races,All Ages,All Grades
2011,NV,Nevada, Adults,Overall,All Races,All Ages,All Grades
2019,MS,Mississippi,  Adults,Overall,Hispanic,All Ages,All Grades
2011,NH,New Hampshire,  Adults,Female,All Races,All Ages,All Grades
2012-2013,LA,Louisiana,  Adults,Overall,White,All Ages,All Grades
2011,NJ,New Jersey,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017,CT,Connecticut,  Adults,Overall,White,All Ages,All Grades
2013-2014,AZ,Arizona,  Adults,Overall,White,All Ages,All Grades
2017,KS,Kansas,  Adults,Female,All Races,All Ages,All Grades
2018,TX,Texas,  Adults,Overall,All Races,All Ages,All Grades
2014,ME,Maine,  Adults,Female,All Races,All Ages,All Grades
2016,KS,Kansas,  Adults,Female,All Races,All Ages,All Grades
2014,PR,Puerto Rico,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2012,AK,Alaska, Adults,Female,All Races,All Ages,All Grades
2015,KY,Kentucky,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2016,WV,West Virginia,  Adults,Overall,All Races,All Ages,All Grades
2018-2019,MN,Minnesota,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,MO,Missouri,  Adults,Male,All Races,All Ages,All Grades
2018,ND,North Dakota,  Adults,Overall,All Races,65 Years and Older,All Grades
2012,TX,Texas,  Adults,Female,All Races,All Ages,All Grades
2011,WA,Washington,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2018,FL,Florida,  Adults,Male,All Races,All Ages,All Grades
2016-2017,DC,District of Columbia,  Adults,Overall,Hispanic,All Ages,All Grades
2011,IN,Indiana,  Adults,Overall,Hispanic,All Ages,All Grades
2017,NC,North Carolina, Adults,Overall,All Races,All Ages,All Grades
2016,VA,Virginia,  Adults,Female,All Races,All Ages,All Grades
2012,TN,Tennessee,  Adults,Overall,All Races,All Ages,All Grades
2018,OK,Oklahoma,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AR,Arkansas,  Adults,Overall,All Races,All Ages,All Grades
2019,OR,Oregon,  Adults,Male,All Races,All Ages,All Grades
2017,HI,Hawaii,E-  Adults,Overall,Hispanic,All Ages,All Grades
2014,VT,Vermont,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2012-2013,NV,Nevada,  Adults,Overall,Hispanic,All Ages,All Grades
2019,TX,Texas,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2012,OK,Oklahoma,  Adults,Overall,All Races,All Ages,All Grades
2017,CO,Colorado,E-  Adults,Female,All Races,All Ages,All Grades
2013,CO,Colorado,  Adults,Male,All Races,All Ages,All Grades
2017,WA,Washington,  Adults,Overall,All Races,All Ages,All Grades
2016,NJ,New Jersey,E-  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2016,OR,Oregon,E-  Adults,Female,All Races,All Ages,All Grades
2019,PA,Pennsylvania,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,IL,Illinois,  Adults,Overall,All Races,65 Years and Older,All Grades
2017,MS,Mississippi,  Adults,Overall,Hispanic,All Ages,All Grades
2014,TN,Tennessee,  Adults,Male,All Races,All Ages,All Grades
2013,AL,Alabama,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,DC,District of Columbia,  Adults,Overall,Hispanic,All Ages,All Grades
2014,ND,North Dakota,  Adults,Female,All Races,All Ages,All Grades
2016,WI,Wisconsin,E-  Adults,Overall,White,All Ages,All Grades
2016,SC,South Carolina,  Adults,Overall,All Races,All Ages,All Grades
2018,PR,Puerto Rico,  Adults,Female,All Races,18 to 44 Years,All Grades
2011,SD,South Dakota,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,RI,Rhode Island,  Adults,Female,All Races,All Ages,All Grades
2014,SC,South Carolina,  Adults,Female,All Races,All Ages,All Grades
2017,AR,Arkansas,  Adults,Overall,All Races,All Ages,All Grades
2017,NE,Nebraska,E-  Adults,Overall,Hispanic,All Ages,All Grades
2015,OR,Oregon,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017-2018,ID,Idaho,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2016-2017,MO,Missouri,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2012,PA,Pennsylvania,  Adults,Overall,All Races,All Ages,All Grades
2012,AZ,Arizona,  Adults,Overall,All Races,65 Years and Older,All Grades
2017-2018,NH,New Hampshire,E-  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,NV,Nevada,  Adults,Overall,All Races,All Ages,All Grades
2019,MN,Minnesota,  Adults,Female,All Races,All Ages,All Grades
2017,ME,Maine,  Adults,Female,All Races,All Ages,All Grades
2013,FL,Florida,  Adults,Male,All Races,All Ages,All Grades
2019,OH,Ohio,  Adults,Overall,African American,All Ages,All Grades
2016,MS,Mississippi,  Adults,Male,All Races,All Ages,All Grades
2011,NH,New Hampshire,  Adults,Male,All Races,All Ages,All Grades
2012,TX,Texas,  Adults,Overall,All Races,65 Years and Older,All Grades
2018,NH,New Hampshire,  Adults,Overall,All Races,All Ages,All Grades
2012,CT,Connecticut,  Adults,Male,All Races,All Ages,All Grades
2015,RI,Rhode Island,  Adults,Overall,All Races,All Ages,All Grades
2012-2013,MS,Mississippi,  Adults,Overall,African American,All Ages,All Grades
2013,OK,Oklahoma,  Adults,Male,All Races,All Ages,All Grades
2011,OK,Oklahoma,  Adults,Overall,All Races,18 to 24 Years,All Grades
2011,DC,District of Columbia,  Adults,Male,All Races,All Ages,All Grades
2016,GA,Georgia,  Adults,Female,All Races,18 to 44 Years,All Grades
2011,NM,New Mexico,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,MS,Mississippi,  Adults,Overall,All Races,18 to 24 Years,All Grades
2013,VT,Vermont,  Adults,Overall,All Races,25 to 44 Years,All Grades
2016,ME,Maine,E-  Adults,Overall,African American,All Ages,All Grades
2016,MN,Minnesota,  Adults,Overall,All Races,All Ages,All Grades
2015,WY,Wyoming,  Adults,Overall,All Races,All Ages,All Grades
2013,RI,Rhode Island,  Adults,Female,All Races,18 to 44 Years,All Grades
2015,MT,Montana,  Adults,Female,All Races,All Ages,All Grades
2015,KS,Kansas, Adults,Male,All Races,All Ages,All Grades
2019,PR,Puerto Rico,  Adults,Male,All Races,All Ages,All Grades
2013,IL,Illinois,  Adults,Overall,All Races,All Ages,All Grades
2018,WI,Wisconsin,  Adults,Female,All Races,18 to 44 Years,All Grades
2019,AZ,Arizona,  Adults,Overall,All Races,All Ages,All Grades
2017,AR,Arkansas,  Adults,Overall,All Races,65 Years and Older,All Grades
2016-2017,NY,New York,E-  Adults,Overall,Hispanic,All Ages,All Grades
2013,GU,Guam,  Adults,Overall,All Races,18 to 24 Years,All Grades
2017,ME,Maine,  Adults,Overall,All Races,All Ages,All Grades
2019,NY,New York,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2014,MI,Michigan,  Adults,Overall,All Races,45 to 64 Years,All Grades
2016,CA,California,E-  Adults,Overall,All Races,Age 20 and Older,12th Grade
2015,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2018,PA,Pennsylvania,  Adults,Female,All Races,All Ages,All Grades
2018,MD,Maryland,  Adults,Overall,All Races,All Ages,All Grades
2013,CO,Colorado,  Adults,Female,All Races,All Ages,All Grades
2019,NY,New York,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011-2012,SD,South Dakota,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,IA,Iowa,  Adults,Male,All Races,All Ages,All Grades
2015,MT,Montana,  Adults,Overall,All Races,All Ages,All Grades
2015,KY,Kentucky,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2017,MA,Massachusetts,  Adults,Male,All Races,All Ages,All Grades
2015,LA,Louisiana,  Adults,Male,All Races,All Ages,All Grades
2017,IN,Indiana,E-  Adults,Male,All Races,All Ages,All Grades
2016,OH,Ohio,  Adults,Overall,All Races,45 to 64 Years,All Grades
2017,NM,New Mexico,E-  Adults,Overall,All Races,45 to 64 Years,All Grades
2015,PR,Puerto Rico,  Adults,Male,All Races,All Ages,All Grades
2018,NM,New Mexico,  Adults,Male,All Races,All Ages,All Grades
2016,LA,Louisiana,E-  Adults,Overall,All Races,All Ages,All Grades
2019,AZ,Arizona,  Adults,Overall,All Races,25 to 44 Years,All Grades
2012,DC,District of Columbia,  Adults,Overall,All Races,All Ages,All Grades
2012,NE,Nebraska,  Adults,Overall,All Races,All Ages,All Grades
2014,ME,Maine,  Adults,Overall,All Races,18 to 24 Years,All Grades
2014,CT,Connecticut,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2012,VT,Vermont,  Adults,Female,All Races,18 to 44 Years,All Grades
2015,OK,Oklahoma,  Adults,Overall,All Races,45 to 64 Years,All Grades
2019,WY,Wyoming,  Adults,Male,All Races,All Ages,All Grades
2016,OR,Oregon,E-  Adults,Overall,All Races,Age 25 and Older,12th Grade
2015-2016,MS,Mississippi,  Adults,Overall,White,All Ages,All Grades
2011,GA,Georgia,  Adults,Overall,All Races,All Ages,All Grades
2011,SD,South Dakota,  Adults,Male,All Races,All Ages,All Grades
2011,PA,Pennsylvania,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2012-2013,AZ,Arizona,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2011,VT,Vermont,  Adults,Female,All Races,All Ages,All Grades
2014,GA,Georgia, Adults,Male,All Races,All Ages,All Grades
2013,WA,Washington, Adults,Male,All Races,All Ages,All Grades
2015,AZ,Arizona,  Adults,Male,All Races,All Ages,All Grades
2017,TN,Tennessee,  Adults,Male,All Races,All Ages,All Grades
2014,VA,Virginia, Adults,Overall,All Races,All Ages,All Grades
2019,IL,Illinois,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2019,ND,North Dakota,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2011,AR,Arkansas,  Adults,Female,All Races,All Ages,All Grades
2012,WA,Washington,  Adults,Overall,All Races,All Ages,All Grades
2013,CA,California,  Adults,Female,All Races,All Ages,All Grades
2015,NY,New York,  Adults,Overall,All Races,65 Years and Older,All Grades
2015,OH,Ohio, Adults,Male,All Races,All Ages,All Grades
2019,MO,Missouri,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2016-2017,ID,Idaho,E-  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2014,MT,Montana,  Adults,Overall,All Races,All Ages,All Grades
2014,PA,Pennsylvania,  Adults,Overall,All Races,All Ages,All Grades
2016,WI,Wisconsin,E-  Adults,Overall,All Races,18 to 24 Years,All Grades
2017-2018,IL,Illinois,  Adults,Overall,White,All Ages,All Grades
2011,MD,Maryland,  Adults,Female,All Races,All Ages,All Grades
2018,WI,Wisconsin,  Adults,Male,All Races,All Ages,All Grades
2016,NE,Nebraska, Adults,Female,All Races,All Ages,All Grades
2015,ND,North Dakota,  Adults,Overall,All Races,All Ages,All Grades
2012,LA,Louisiana,  Adults,Overall,White,All Ages,All Grades
2019,VA,Virginia,  Adults,Male,All Races,All Ages,All Grades
2015,NH,New Hampshire,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2018-2019,CO,Colorado,  Adults,Overall,African American,All Ages,All Grades
2015,KY,Kentucky, Adults,Overall,All Races,All Ages,All Grades
2019,DE,Delaware,  Adults,Male,All Races,All Ages,All Grades
2018,MA,Massachusetts,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2011,PR,Puerto Rico,  Adults,Male,All Races,All Ages,All Grades
2014,OH,Ohio,  Adults,Male,All Races,All Ages,All Grades
2017,UT,Utah,  Adults,Male,All Races,All Ages,All Grades
2014,UT,Utah,  Adults,Female,All Races,All Ages,All Grades
2017,HI,Hawaii,E-  Adults,Female,All Races,All Ages,All Grades
2016,MA,Massachusetts,  Adults,Overall,All Races,18 to 24 Years,All Grades
2018,DE,Delaware,E-  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2019,DC,District of Columbia,  Adults,Female,All Races,All Ages,All Grades
2017,SC,South Carolina,  Adults,Female,All Races,All Ages,All Grades
2011,CO,Colorado,  Adults,Female,All Races,All Ages,All Grades
2013,NJ,New Jersey,  Adults,Female,All Races,All Ages,All Grades
2018-2019,AZ,Arizona,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,ME,Maine,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2015-2016,NC,North Carolina,  Adults,Overall,Hispanic,All Ages,All Grades
2015,PR,Puerto Rico,  Adults,Female,All Races,All Ages,All Grades
2019,MO,Missouri,  Adults,Overall,All Races,65 Years and Older,All Grades
2018-2019,OH,Ohio,  Adults,Overall,White,All Ages,All Grades
2016,MA,Massachusetts,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2011-2012,MA,Massachusetts,  Adults,Overall,White,All Ages,All Grades
2017,PA,Pennsylvania,  Adults,Overall,All Races,All Ages,All Grades
2012,SC,South Carolina, Adults,Overall,All Races,All Ages,All Grades
2019,NC,North Carolina, Adults,Overall,All Races,All Ages,All Grades
2014-2015,LA,Louisiana,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2014,SC,South Carolina,  Adults,Overall,All Races,All Ages,All Grades
2011,VA,Virginia,  Adults,Female,All Races,All Ages,All Grades
2017,HI,Hawaii,E-  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2017,WA,Washington,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2012,NV,Nevada,  Adults,Overall,All Races,All Ages,All Grades
2018,NH,New Hampshire,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2011,MT,Montana,  Adults,Overall,All Races,18 to 24 Years,All Grades
2017,GU,Guam,E-  Adults,Overall,All Races,Age 25 and Older,12th Grade
2011,UT,Utah,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2017,MN,Minnesota,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017,RI,Rhode Island,  Adults,Male,All Races,All Ages,All Grades
2019,ID,Idaho,  Adults,Overall,All Races,All Ages,All Grades
2017,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2015,SC,South Carolina,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2018-2019,OR,Oregon,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2013,TN,Tennessee,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2011,OH,Ohio,  Adults,Male,All Races,All Ages,All Grades
2015,MD,Maryland,  Adults,Overall,All Races,All Ages,All Grades
2016,KS,Kansas,  Adults,Male,All Races,All Ages,All Grades
2015,WY,Wyoming,  Adults,Male,All Races,All Ages,All Grades
2019,AL,Alabama,  Adults,Overall,All Races,All Ages,All Grades
2011,OK,Oklahoma,  Adults,Overall,African American,All Ages,All Grades
2016,MT,Montana, Adults,Overall,All Races,All Ages,All Grades
2013,KS,Kansas, Adults,Overall,All Races,All Ages,All Grades
2017,WV,West Virginia,  Adults,Female,All Races,All Ages,All Grades
2018,MO,Missouri,E-  Adults,Overall,All Races,All Ages,All Grades
2015,OR,Oregon,  Adults,Overall,All Races,25 to 44 Years,All Grades
2018,AZ,Arizona,  Adults,Female,All Races,All Ages,All Grades
2017,WY,Wyoming,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2019,SD,South Dakota,  Adults,Overall,All Races,All Ages,All Grades
2012-2013,IN,Indiana,  Adults,Overall,White,All Ages,All Grades
2015,OR,Oregon,  Adults,Male,All Races,All Ages,All Grades
2017,CA,California,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2014,WA,Washington,  Adults,Female,All Races,All Ages,All Grades
2016,OK,Oklahoma,  Adults,Female,All Races,All Ages,All Grades
2014,CA,California,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2011-2012,AK,Alaska,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,NE,Nebraska,  Adults,Overall,All Races,25 to 44 Years,All Grades
2019,KS,Kansas, Adults,Male,All Races,All Ages,All Grades
2016,ND,North Dakota,E-  Adults,Overall,All Races,All Ages,All Grades
2014,VA,Virginia,  Adults,Overall,All Races,45 to 64 Years,All Grades
2014-2015,NM,New Mexico,  Adults,Overall,White,All Ages,All Grades
2012,CT,Connecticut,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2012,NJ,New Jersey,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2018-2019,SD,South Dakota,  Adults,Overall,Hispanic,All Ages,All Grades
2018,WI,Wisconsin,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2011,VA,Virginia,  Adults,Male,All Races,All Ages,All Grades
2013,MS,Mississippi,  Adults,Female,All Races,All Ages,All Grades
2012-2013,MT,Montana,  Adults,Overall,African American,All Ages,All Grades
2012,NH,New Hampshire,  Adults,Overall,African American,All Ages,All Grades
2011,AR,Arkansas, Adults,Overall,All Races,All Ages,All Grades
2014,SC,South Carolina,  Adults,Overall,All Races,25 to 44 Years,All Grades
2019,TN,Tennessee,  Adults,Female,All Races,All Ages,All Grades
2018,GU,Guam,  Adults,Overall,All Races,All Ages,All Grades
2012,AK,Alaska,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2014,NM,New Mexico,  Adults,Overall,All Races,All Ages,All Grades
2017,VA,Virginia, Adults,Overall,All Races,All Ages,All Grades
2017,VA,Virginia,  Adults,Overall,All Races,25 to 44 Years,All Grades
2015,AK,Alaska,  Adults,Overall,All Races,18 to 24 Years,All Grades
2013,AZ,Arizona,  Adults,Female,All Races,All Ages,All Grades
2013,VT,Vermont,  Adults,Overall,All Races,18 to 24 Years,All Grades
2014,WV,West Virginia,  Adults,Female,All Races,All Ages,All Grades
2018,MS,Mississippi,E-  Adults,Male,All Races,All Ages,All Grades
